timestep,accuracy,precision,recall,f1,jaccard
Timestep_0,0.16202494240928206,0.15273479786131597,0.2298313971531439,0.15785028038795065,0.19042184778463916
Timestep_1,0.1439938286736098,0.14750872184252525,0.22733681952354484,0.15831187628875235,0.18700574791115826
Timestep_10,0.12556121389773076,0.1452493538129738,0.1784869557803271,0.1480662785260796,0.17269656200255853
Timestep_11,0.125062277103973,0.14622013051139612,0.17732275993817292,0.14769679616929215,0.172050898043479
Timestep_12,0.1261748449301129,0.14820047424285232,0.17910178588859568,0.14982938490977335,0.17391492440213233
Timestep_13,0.12857022331940376,0.14657938651704644,0.19779997282753212,0.1492072676292131,0.17246884299167733
Timestep_14,0.12753632152993838,0.14362937701973003,0.17511022495177125,0.14373276771288168,0.16849151117093825
Timestep_15,0.12725054048900972,0.14403923270561722,0.18100709728866088,0.1491336794501936,0.17385065304725267
Timestep_16,0.12978631453175812,0.14998537367465972,0.18181279108447987,0.15157979478623984,0.1769384612002068
Timestep_17,0.12498080590200135,0.1458703137885175,0.18178459747676395,0.14950653159658014,0.1719251310545164
Timestep_18,0.12686465808609226,0.14620556438000507,0.17842254886190437,0.14825538086299553,0.1728438399797047
Timestep_19,0.1259462018882422,0.1464978573084764,0.1721077115749882,0.14227185875763096,0.1669664157872928
Timestep_2,0.1479045781734897,0.1555171849894521,0.22765608508563187,0.1642346716374256,0.18858663137622036
Timestep_20,0.1344549831470248,0.1530564403796009,0.19047698633747823,0.1517603842416994,0.17615789454461256
Timestep_21,0.130322025166291,0.15359560911456757,0.2026270590108615,0.14528492679419747,0.16827764089718608
Timestep_22,0.13540933395989846,0.15049616095346102,0.21112764159246306,0.16239355814124146,0.18286302515947697
Timestep_23,0.13658201350772242,0.15007658190855347,0.21070526990071353,0.15935773008276707,0.18319688478853546
Timestep_3,0.13055954296034086,0.14646492169395867,0.18175449021887374,0.1484201170258557,0.1724102181421454
Timestep_4,0.13901139606116453,0.1446961464427863,0.2162711552525474,0.1554072315335435,0.18132331129135973
Timestep_5,0.1238679989870447,0.1444446621009884,0.1760122180745177,0.1455543216919783,0.17006163472231278
Timestep_6,0.1382878215872328,0.15133451775932558,0.23108743819698258,0.14908147242470562,0.1783320445707576
Timestep_7,0.12530981841912403,0.1412367162258653,0.186964900777153,0.15016252813799025,0.17232014145439725
Timestep_8,0.13863536248178596,0.16012830543973192,0.20629237763122432,0.14417120560129176,0.17159707356508683
Timestep_9,0.12453922449956462,0.14284863198352707,0.17786164591483886,0.1457825217843274,0.1699992142665095
